
> max-stoich@1.0.0-rc.1 dev
> next dev

▲ Next.js 16.2.10 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.7.253:3000
- Environments: .env.local
✓ Ready in 378ms

 GET /workspace 200 in 357ms (next.js: 28ms, proxy.ts: 75ms, application-code: 253ms)
 GET /workspace 200 in 479ms (next.js: 55ms, proxy.ts: 23ms, application-code: 402ms)
 GET /workspace 200 in 262ms (next.js: 51ms, proxy.ts: 44ms, application-code: 167ms)
 GET /compare 200 in 331ms (next.js: 9ms, proxy.ts: 8ms, application-code: 314ms)
 GET /workspace 200 in 263ms (next.js: 18ms, proxy.ts: 84ms, application-code: 162ms)
 GET /print?job=163af77b-e717-44e3-9217-72b511666a05 200 in 824ms (next.js: 57ms, proxy.ts: 19ms, application-code: 748ms)
 GET /workspace 200 in 762ms (next.js: 41ms, proxy.ts: 47ms, application-code: 674ms)
 GET /settings 200 in 757ms (next.js: 133ms, proxy.ts: 30ms, application-code: 594ms)
 GET /workspace 200 in 700ms (next.js: 79ms, proxy.ts: 141ms, application-code: 481ms)
 GET /compare 200 in 585ms (next.js: 92ms, proxy.ts: 67ms, application-code: 425ms)
 GET /settings 200 in 589ms (next.js: 80ms, proxy.ts: 67ms, application-code: 442ms)
 GET /workspace 200 in 555ms (next.js: 94ms, proxy.ts: 64ms, application-code: 397ms)
 GET /compare 200 in 564ms (next.js: 109ms, proxy.ts: 65ms, application-code: 390ms)
 GET /workspace 200 in 598ms (next.js: 32ms, proxy.ts: 33ms, application-code: 534ms)
 GET /compare 200 in 510ms (next.js: 54ms, proxy.ts: 58ms, application-code: 397ms)
 GET /demo 200 in 604ms (next.js: 30ms, proxy.ts: 83ms, application-code: 491ms)
 GET /workspace 200 in 486ms (next.js: 82ms, proxy.ts: 54ms, application-code: 349ms)
 GET /workspace 200 in 673ms (next.js: 28ms, proxy.ts: 35ms, application-code: 611ms)
 GET /compare 200 in 612ms (next.js: 52ms, proxy.ts: 55ms, application-code: 506ms)
 GET /compare 200 in 618ms (next.js: 78ms, proxy.ts: 56ms, application-code: 484ms)
 GET /workspace 200 in 884ms (next.js: 48ms, proxy.ts: 23ms, application-code: 812ms)
 GET /compare 200 in 845ms (next.js: 69ms, proxy.ts: 78ms, application-code: 698ms)
 GET /settings 200 in 829ms (next.js: 144ms, proxy.ts: 72ms, application-code: 613ms)
 GET /compare 200 in 828ms (next.js: 110ms, proxy.ts: 74ms, application-code: 644ms)
 GET /compare 200 in 831ms (next.js: 86ms, proxy.ts: 73ms, application-code: 672ms)
 GET /settings 200 in 824ms (next.js: 190ms, proxy.ts: 70ms, application-code: 564ms)
 GET /settings 200 in 825ms (next.js: 172ms, proxy.ts: 72ms, application-code: 581ms)
 GET /compare 200 in 655ms (next.js: 37ms, proxy.ts: 178ms, application-code: 440ms)
 GET /settings 200 in 587ms (next.js: 58ms, proxy.ts: 114ms, application-code: 415ms)
 GET /settings 200 in 599ms (next.js: 74ms, proxy.ts: 115ms, application-code: 411ms)
 GET /settings 200 in 868ms (next.js: 78ms, proxy.ts: 35ms, application-code: 755ms)
 GET /workspace 200 in 759ms (next.js: 36ms, proxy.ts: 176ms, application-code: 548ms)
 GET /settings 200 in 606ms (next.js: 121ms, proxy.ts: 28ms, application-code: 457ms)
 GET /account 200 in 742ms (next.js: 91ms, proxy.ts: 143ms, application-code: 509ms)
 GET /compare 200 in 826ms (next.js: 18ms, proxy.ts: 13ms, application-code: 795ms)
 GET /compare 200 in 830ms (next.js: 66ms, proxy.ts: 30ms, application-code: 734ms)
 GET /labs 200 in 834ms (next.js: 21ms, proxy.ts: 29ms, application-code: 784ms)
 GET /settings 200 in 753ms (next.js: 71ms, proxy.ts: 48ms, application-code: 633ms)
 GET /login 200 in 829ms (next.js: 56ms, proxy.ts: 88ms, application-code: 685ms)
 GET /workspace 200 in 755ms (next.js: 103ms, proxy.ts: 45ms, application-code: 607ms)
 GET /workspace 200 in 788ms (next.js: 110ms, proxy.ts: 95ms, application-code: 583ms)
 GET /settings 200 in 781ms (next.js: 75ms, proxy.ts: 103ms, application-code: 603ms)
 GET /workspace 200 in 826ms (next.js: 32ms, proxy.ts: 57ms, application-code: 737ms)
 GET /workspace 200 in 763ms (next.js: 39ms, proxy.ts: 71ms, application-code: 653ms)
 GET /demo 200 in 822ms (next.js: 70ms, proxy.ts: 71ms, application-code: 680ms)
 GET /account 200 in 774ms (next.js: 128ms, proxy.ts: 120ms, application-code: 526ms)
 GET /settings 200 in 641ms (next.js: 51ms, proxy.ts: 133ms, application-code: 457ms)
 GET /workspace 200 in 535ms (next.js: 105ms, proxy.ts: 45ms, application-code: 385ms)
 GET /workspace 200 in 534ms (next.js: 101ms, proxy.ts: 77ms, application-code: 356ms)
 GET /labs 200 in 744ms (next.js: 35ms, proxy.ts: 52ms, application-code: 657ms)
 GET /compare 200 in 757ms (next.js: 68ms, proxy.ts: 83ms, application-code: 605ms)
 GET /workspace 200 in 670ms (next.js: 49ms, proxy.ts: 74ms, application-code: 546ms)
 GET /workspace 200 in 793ms (next.js: 43ms, proxy.ts: 39ms, application-code: 712ms)
 GET /workspace 200 in 844ms (next.js: 32ms, proxy.ts: 48ms, application-code: 765ms)
 GET /demo 200 in 873ms (next.js: 43ms, proxy.ts: 55ms, application-code: 775ms)
 GET /workspace 200 in 797ms (next.js: 132ms, proxy.ts: 93ms, application-code: 573ms)
 GET /compare 200 in 731ms (next.js: 117ms, proxy.ts: 117ms, application-code: 496ms)
 GET /workspace 200 in 608ms (next.js: 85ms, proxy.ts: 126ms, application-code: 397ms)
 GET /settings 200 in 1218ms (next.js: 84ms, proxy.ts: 35ms, application-code: 1099ms)
 GET /settings 200 in 1176ms (next.js: 253ms, proxy.ts: 72ms, application-code: 851ms)
 GET /materials 200 in 1250ms (next.js: 155ms, proxy.ts: 87ms, application-code: 1008ms)
 GET /workspace 200 in 1021ms (next.js: 100ms, proxy.ts: 186ms, application-code: 735ms)
 GET /workspace 200 in 856ms (next.js: 152ms, proxy.ts: 82ms, application-code: 622ms)
 GET /workspace 200 in 758ms (next.js: 71ms, proxy.ts: 65ms, application-code: 622ms)
